clubName,tier,squadSize,ratedCount,squadAverageOvr,startingXiAverageOvr,highestPlayer,highestOvr,lowestPlayer,lowestOvr,squadConfidence,status
Spezia,Tier B (Partially Rated),1,1,76.0,76.0,Rey Manaj,76.0,Rey Manaj,76.0,0.99,PARTIAL_DATA
Albacete BP,Tier B (Partially Rated),1,1,75.0,75.0,Kaiky Fernandes Melo,75.0,Kaiky Fernandes Melo,75.0,0.73,PARTIAL_DATA
Norwich,Tier A (Fully Rated),38,27,70.3,74.2,Tim Krul,84.0,Tony Springett,66.0,0.63,RATED
Watford FC,Tier A (Fully Rated),51,28,70.0,74.0,Ben Foster,82.0,Samuel Kalu,66.0,0.65,RATED
FC Bayern,Tier B (Partially Rated),1,1,74.0,74.0,Bryan Zaragoza,74.0,Bryan Zaragoza,74.0,0.25,PARTIAL_DATA
FC Andorra,Tier B (Partially Rated),1,1,73.0,73.0,Jon Karrikaburu,73.0,Jon Karrikaburu,73.0,0.9,PARTIAL_DATA
Bayer 04,Tier B (Partially Rated),1,1,72.0,72.0,Borja Iglesias,72.0,Borja Iglesias,72.0,0.26,PARTIAL_DATA
Nice,Tier B (Partially Rated),1,1,72.0,72.0,Mohamed-Ali Cho,72.0,Mohamed-Ali Cho,72.0,0.76,PARTIAL_DATA
Lyon,Tier B (Partially Rated),1,1,72.0,72.0,Paul Akouokou,72.0,Paul Akouokou,72.0,0.55,PARTIAL_DATA
Sporting Huelva,Tier A (Fully Rated),23,20,63.2,71.3,Ana Marcos Moral,91.0,Sandra Castelló,52.0,0.84,RATED
UD Granadilla Tenerife Egatesa,Tier A (Fully Rated),32,21,63.1,71.1,Cristina Martín-Prieto,91.0,Raquel Peña,51.0,0.77,RATED
Reims,Tier B (Partially Rated),1,1,70.0,70.0,Sergio Akieme,70.0,Sergio Akieme,70.0,0.71,PARTIAL_DATA
US Salernitana 1919,Tier B (Partially Rated),1,1,69.0,69.0,Shon Weissman,69.0,Shon Weissman,69.0,0.62,PARTIAL_DATA
Madrid CFF,Tier A (Fully Rated),35,22,62.1,68.6,Gabriela Nunes da Silva,91.0,Mônica Hickmann Alves,51.0,0.78,RATED
VCF Femenino,Tier A (Fully Rated),31,21,60.7,67.5,Candela Andujar,89.0,María Jiménez,51.0,0.82,RATED
Rayo Vallecano de Madrid,Tier A (Fully Rated),22,21,61.4,67.5,Isadora Damasceno Freitas,87.0,María Bores,51.0,0.8,RATED
Real Betis Balompié,Tier A (Fully Rated),28,20,60.0,66.6,Mari Paz Vilas,91.0,Paula Perea,51.0,0.78,RATED
Fiorentina,Tier B (Partially Rated),1,1,66.0,66.0,Álvaro Odriozola,66.0,Álvaro Odriozola,66.0,0.98,PARTIAL_DATA
LOSC,Tier B (Partially Rated),1,1,64.0,64.0,Unknown Player,64.0,Unknown Player,64.0,0.99,PARTIAL_DATA
AC Monza,Tier C (Insufficient Data),1,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Arsenal FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Nottingham Forest FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Aston Villa FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Wolverhampton Wanderers FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Leeds United FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Leicester City FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Norwich City FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Real Sociedad de Fútbol,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
