statId,playerId,playerName,primaryPosition,positionGroup,clubName,seasonKey,status,ovr,confidence,minutesPlayed,appearances,finishing,shotPower,shotAccuracy,positioning,attackingMovement,shortPassing,longPassing,vision,crossing,throughBalls,chanceCreation,tackling,interceptions,marking,defensiveAwareness,positioningDef,blocks,aerialAbility,dribbling,ballControl,composure,stamina,strength,pace,acceleration,workRate,gkReflexes,gkHandling,gkPositioning,gkKicking,gkClaims
laliga-stat-3733-2021-2022,laliga-p-3733,Luuk de Jong,ST,ATTACKER,FC Barcelona,2021-2022,RATED,82,0.74,643,21,94.0,90.0,92.0,85.0,79.0,59.0,60.0,60.0,61.0,60.0,60.0,68.0,68.0,68.0,68.0,68.0,68.0,65.0,63.0,63.0,62.0,58.0,59.0,58.0,58.0,60.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-12946-2021-2022,laliga-p-12946,Luís Manuel Arantes Maximiano,GK,GOALKEEPER,Granada CF,2021-2022,RATED,66,0.99,3137,35,54.0,58.0,55.0,58.0,69.0,58.0,59.0,59.0,60.0,59.0,59.0,47.0,48.0,49.0,48.0,49.0,50.0,60.0,69.0,69.0,74.0,92.0,90.0,89.0,89.0,83.0,67.0,67.0,68.0,60.0,68.0
laliga-stat-7331-2021-2022,laliga-p-7331,Mamadou Loum,CM,MIDFIELDER,Deportivo Alavés,2021-2022,RATED,74,0.99,2317,32,65.0,67.0,65.0,67.0,73.0,67.0,67.0,67.0,67.0,67.0,67.0,90.0,89.0,87.0,89.0,87.0,86.0,88.0,71.0,71.0,74.0,84.0,82.0,82.0,82.0,85.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-1929-2021-2022,laliga-p-1929,Mamadou Sylla,ST,ATTACKER,Rayo Vallecano,2021-2022,RATED,66,0.29,247,12,70.0,69.0,70.0,67.0,65.0,57.0,58.0,58.0,59.0,58.0,58.0,68.0,68.0,68.0,68.0,68.0,68.0,64.0,59.0,59.0,59.0,56.0,57.0,57.0,57.0,58.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-1930-2021-2022,laliga-p-1930,Manuel Reina,GK,GOALKEEPER,RCD Mallorca,2021-2022,RATED,67,0.99,1890,21,54.0,56.0,55.0,58.0,64.0,58.0,59.0,58.0,59.0,59.0,58.0,47.0,48.0,49.0,48.0,49.0,50.0,57.0,68.0,67.0,70.0,79.0,78.0,78.0,78.0,73.0,68.0,68.0,68.0,60.0,68.0
laliga-stat-4412-2021-2022,laliga-p-4412,Manuel García,ST,ATTACKER,Deportivo Alavés,2021-2022,RATED,63,0.84,1074,24,63.0,63.0,63.0,63.0,62.0,72.0,72.0,72.0,72.0,72.0,72.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0,63.0,64.0,63.0,61.0,62.0,62.0,62.0,62.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-7314-2021-2022,laliga-p-7314,Manu Morlanes,CM,MIDFIELDER,RCD Espanyol de Barcelona,2021-2022,RATED,76,0.85,1138,27,72.0,71.0,72.0,70.0,68.0,83.0,81.0,82.0,80.0,81.0,82.0,81.0,80.0,80.0,80.0,80.0,79.0,75.0,64.0,65.0,64.0,63.0,63.0,63.0,63.0,66.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-9807-2021-2022,laliga-p-9807,Manu Sánchez,CB,DEFENDER,CA Osasuna,2021-2022,RATED,76,0.99,2258,33,65.0,67.0,65.0,69.0,72.0,68.0,68.0,68.0,68.0,68.0,68.0,77.0,76.0,76.0,76.0,76.0,75.0,79.0,77.0,77.0,78.0,83.0,82.0,82.0,82.0,82.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-89-2021-2022,laliga-p-89,Manu Trigueros,CM,MIDFIELDER,Villarreal CF,2021-2022,RATED,78,0.99,2191,35,77.0,78.0,77.0,78.0,79.0,80.0,79.0,80.0,79.0,79.0,80.0,67.0,67.0,67.0,67.0,67.0,67.0,71.0,79.0,79.0,80.0,81.0,80.0,81.0,81.0,78.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-4284-2021-2022,laliga-p-4284,Manu Vallejo,ST,ATTACKER,Deportivo Alavés,2021-2022,RATED,73,0.59,366,11,78.0,76.0,77.0,75.0,69.0,59.0,60.0,59.0,60.0,60.0,59.0,62.0,63.0,63.0,63.0,63.0,63.0,60.0,67.0,67.0,65.0,55.0,56.0,57.0,57.0,57.0,10.0,10.0,10.0,10.0,10.0
